table_name,estimated_rows
pg_description,5268
pg_proc,3330
pg_attribute,3126
pg_depend,1709
pg_amop,945
pg_collation,859
pg_operator,799
sql_features,755
pg_amproc,696
pg_type,617
pg_ts_config_map,551
pg_class,415
pg_statistic,410
pg_cast,229
pg_init_privs,223
pg_opclass,177
pg_index,164
pg_aggregate,157
pg_opfamily,146
pg_rewrite,145
pg_conversion,128
pg_constraint,112
pg_ts_config,29
pg_ts_dict,29
sql_sizing,23
pg_authid,16
sql_implementation_info,12
sql_parts,11
pg_am,7
pg_range,6
pg_ts_template,5
pg_language,4
pg_namespace,4
pg_auth_members,3
pg_database,2
pg_tablespace,2
pg_extension,1
pg_ts_parser,1
pg_shdescription,1
pg_publication,0
pg_foreign_table,0
pg_statistic_ext_data,0
pg_user_mapping,0
pg_subscription,0
pg_attrdef,0
pg_inherits,0
pg_largeobject_metadata,0
pg_statistic_ext,0
pg_trigger,0
pg_event_trigger,0
pg_enum,0
pg_db_role_setting,0
pg_shdepend,0
pg_foreign_data_wrapper,0
pg_foreign_server,0
pg_policy,0
pg_replication_origin,0
pg_default_acl,0
pg_seclabel,0
pg_shseclabel,0
pg_parameter_acl,0
pg_partitioned_table,0
pg_transform,0
pg_sequence,0
pg_publication_namespace,0
pg_publication_rel,0
pg_subscription_rel,0
pg_largeobject,0
