product_id_nat,product_name,total_qty,total_amt
DOT,DOTCOM POSTAGE,3414,412490.96
22423,REGENCY CAKESTAND 3 TIER,25960,329524.38
47566,PARTY BUNTING,36044,196605.96
85123A,WHITE HANGING HEART T-LIGHT HOLDER,77660,195789.00
85099B,JUMBO BAG RED RETROSPOT,94726,184712.06
23084,RABBIT NIGHT LIGHT,61292,133513.18
POST,POSTAGE,12706,132461.28
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,37804,127583.88
84879,ASSORTED COLOUR BIRD ORNAMENT,72442,117919.46
79321,CHILLI LIGHTS,20686,107536.12
22502,PICNIC BASKET WICKER SMALL,3746,102082.74
22197,POPCORN HOLDER,112900,101974.94
23298,SPOTTY BUNTING,17068,85400.04
22386,JUMBO BAG PINK POLKADOT,42018,83239.32
23203,JUMBO BAG VINTAGE DOILY ,40026,81982.76
21137,BLACK RECORD COVER FRAME,23232,81193.92
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,14572,74826.88
23284,DOORMAT KEEP CALM AND COME IN,10528,73130.78
22960,JAM MAKING SET WITH JARS,16940,72232.18
82484,WOOD BLACK BOARD ANT WHITE FINISH,11992,71718.54
20725,LUNCH BAG RED RETROSPOT,37958,70374.62
22114,HOT WATER BOTTLE TEA AND SYMPATHY,11182,65384.98
22178,VICTORIAN GLASS HANGING T-LIGHT,47708,65099.14
22112,CHOCOLATE HOT WATER BOTTLE,11796,64634.60
85099F,JUMBO BAG STRAWBERRY,32070,64243.96
