year,month,revenue
2010,12,1497914.04
2011,1,1120000.52
2011,2,996125.30
2011,3,1366534.16
2011,4,986414.242
2011,5,1446667.02
2011,6,1382246.24
2011,7,1362600.222
2011,8,1365361.02
2011,9,2039375.244
2011,10,2141409.34
2011,11,2923512.50
2011,12,867336.02
customer_id_nat,revenue
UNKNOWN,2895364.24
14646,558978.04
18102,512876.98
17450,374964.34
14911,265145.24
12415,247450.90
14156,226768.28
17511,176250.76
16684,131784.16
13694,125306.20
product_name,qty,revenue
DOTCOM POSTAGE,3414,412490.96
REGENCY CAKESTAND 3 TIER,25960,329524.38
WHITE HANGING HEART T-LIGHT HOLDER,78244,199693.96
PARTY BUNTING,36044,196605.96
JUMBO BAG RED RETROSPOT,94726,184712.06
RABBIT NIGHT LIGHT,61292,133513.18
POSTAGE,12706,132461.28
,63526,128022.50
PAPER CHAIN KIT 50'S CHRISTMAS ,37804,127583.88
ASSORTED COLOUR BIRD ORNAMENT,72442,117919.46
CHILLI LIGHTS,20686,107536.12
PICNIC BASKET WICKER SMALL,3746,102082.74
POPCORN HOLDER,112900,101974.94
SPOTTY BUNTING,17068,85400.04
JUMBO BAG PINK POLKADOT,42018,83239.32
country,revenue
United Kingdom,16431111.028
Netherlands,569323.08
EIRE,500570.44
Germany,443396.42
France,393425.68
Australia,275327.70
Switzerland,112643.90
Spain,112074.36
Belgium,79986.80
Sweden,73191.82
Japan,70681.24
Norway,70326.92
Portugal,58119.62
Finland,44653.48
Channel Islands,40172.58
Denmark,39174.40
Italy,33781.02
Cyprus,22656.48
Austria,18878.28
Singapore,18240.78
Poland,14426.28
Israel,13988.50
Greece,9421.04
Iceland,8620.00
Canada,7332.76
Unspecified,5334.14
Malta,5010.94
United Arab Emirates,3804.56
USA,3461.84
Lebanon,3387.76
Lithuania,3322.12
European Community,2583.50
Brazil,2287.20
RSA,2004.62
Czech Republic,1415.44
Bahrain,1096.80
Saudi Arabia,262.34
